"id","geom","LENGTH","NOM"
38,"01050000204F66000001000000010200000002000000D952F85D16DF29C11A7D43B1DC524E41FC06689BD9DE29C1176C36CB97534E41","311.482","RUE ORAIBI JILALI"
39,"01050000204F6600000100000001020000000700000051D2CEFE1FE029C111BF905F2B534E411FA569EF00DF29C1FB8E277E07534E412364F7974FDE29C1369E87B3F1524E4102B4DD7E18DE29C1C84B3B3EF0524E413A4A08618EDC29C1BAA5EA72DF524E41785793A044DB29C1BB0EA879D1524E41441EB9DAA9DA29C1D5F7001CC7524E41","611.728","RUE ALLAL BEN ABDELLAH"
40,"01050000204F66000001000000010200000009000000318D32EC57D929C1C93886DD79524E416D88F32D00DB29C1C062705595524E412343335531DC29C11BA5B1B1A8524E4109A2B077F5DD29C1828F35B5C4524E4199CEF38982DF29C11921899EDF524E413C9F40A235E029C169E81236EA524E419A77CC2447E029C152860383EB524E41A23E255D75E029C148393769EE524E410EA6A969C3E029C129AA6CD5FF524E41","826.92","BOULEVARD MOHAMED V"
41,"01050000204F660000010000000102000000060000008D5A6D2F1FE029C1DD2C9C85AE524E41307CB2A6F1DF29C1E463E3E0A2524E412E27D7F66BDF29C153821C7392524E415C9CD28DE0DE29C1D3BAD4F57F524E415130B572CBDE29C134C84FED7C524E41DFCD21BACADE29C18D0F19457D524E41","165.592","RUE HOUMANE FETOUAKI"
42,"01050000204F6600000100000001020000000F0000009E2E8FFBAAE129C128DDD83D37524E41241675A6ACE029C1679F54921B524E415377EB5738DF29C1B8135149F4514E41197795ABD4DE29C1094C7561EB514E41D307197C3CDE29C19F7077DBDD514E41FE3320C9C0DD29C1D68D8E2ED0514E4108D8D2595BDD29C14DD13E63C2514E419E24A54316DD29C1AF66478CB7514E41467C97D624DC29C16E305C4790514E414EBAAC9B03DC29C10D5D7BDC8A514E4145381EBA99DB29C19D509D3A79514E41C9393FBA21DB29C1A276B69465514E41ABBAF266A4DA29C1B6ABF37655514E414969EC854ADA29C17B4BE1254C514E41B11AED9BDED929C1532EF74843514E41","929.122","AVENUE LALLA YACOUT"
43,"01050000204F66000001000000010200000005000000F2B13CB6E3DD29C19D2EC4C003514E41E68E145EE0DC29C1591E03FC0F514E41F7607569AEDC29C1117BF6A411514E41CDED4AD692DC29C1540B399414514E4132257292F5DB29C1D1CFEA4D36514E41","229.656","RUE LA DROME"
44,"01050000204F66000001000000010200000002000000DE073086DBDB29C1146F28573B514E41FDBC03405ADB29C15913616904524E41","337.976","BOULEVARD HASSAN SGHIR"
45,"01050000204F6600000100000001020000000500000092BFFBC729DF29C143C55A09ED514E414995663029DF29C114754C08E6514E41A3E1511BB5DE29C1FB4ECC21BF514E417099C5B4A7DC29C13AFF62D314514E41ECBF22D574DC29C106A8E79D03514E41","485.38","BOULEVARD 11 JANVIER"
46,"01050000204F66000001000000010200000002000000283010E269DE29C119ED23AE9E504E41608C17191ADC29C109ECB348CF504E41","259.51","RUE BAALABAK"
47,"01050000204F6600000100000001020000000200000075B52D0F39DF29C1AEE0C24EED504E4177626AAD59DD29C16512C81F4B514E41","253.295","RUE ESSANOUBAR"
48,"01050000204F66000001000000010200000003000000AF11CAA54ADD29C11A531AE4A0514E41EC84BC7452DC29C19751F4375B514E417117793287DB29C140F6242B19514E41","293.664","RUE AMAN"
49,"01050000204F660000010000000102000000020000000C60CFFAF0DD29C1CAD6A9AE03514E41F606309D06DD29C1DAB3E9F32F514E41","122.224","RUE OUED ZIZ"
50,"01050000204F6600000100000001020000000B000000E2CE7187BBD929C1E471CCEC37514E4148170A751DDB29C18A2A05121A514E41826A94E63CDC29C1C7F5AC1B01514E4196637BBBF7DC29C17514352CF3504E41C95FFAF0A5DD29C1F8F712F7E4504E41BD0D9FBDE9DD29C174ABDAB4DF504E41655990912DDE29C1A62961C9DA504E41F1D1C0127ADE29C144532D0ADA504E41E4E0DC7DB0DE29C19EE85880DB504E416BFD39E594DF29C1626CF313E4504E413D20D6DBB1E029C1581E977AEF504E41","770.2","BOULEVARD RAHAL MESKINI"
